Particle	Position	Velocity	Acceleration	Density	Pressure	Energy	Total Energy	Total Momentum	Time
0	-0.498750	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
1	-0.496250	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
2	-0.493750	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
3	-0.491250	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
4	-0.488750	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
5	-0.486250	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
6	-0.483750	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
7	-0.481250	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
8	-0.478750	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
9	-0.476250	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
10	-0.473750	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
11	-0.471250	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
12	-0.468750	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
13	-0.466250	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
14	-0.463750	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
15	-0.461250	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
16	-0.458750	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
17	-0.456250	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
18	-0.453750	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
19	-0.451250	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
20	-0.448750	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
21	-0.446250	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
22	-0.443750	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
23	-0.441250	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
24	-0.438750	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
25	-0.436250	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
26	-0.433750	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
27	-0.431250	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
28	-0.428750	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
29	-0.426250	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
30	-0.423750	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
31	-0.421250	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
32	-0.418750	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
33	-0.416250	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
34	-0.413750	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
35	-0.411250	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
36	-0.408750	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
37	-0.406250	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
38	-0.403750	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
39	-0.401250	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
40	-0.398750	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
41	-0.396250	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
42	-0.393750	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
43	-0.391250	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
44	-0.388750	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
45	-0.386250	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
46	-0.383750	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
47	-0.381250	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
48	-0.378750	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
49	-0.376250	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
50	-0.373750	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
51	-0.371250	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
52	-0.368750	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
53	-0.366250	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
54	-0.363750	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
55	-0.361250	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
56	-0.358750	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
57	-0.356250	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
58	-0.353750	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
59	-0.351250	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
60	-0.348750	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
61	-0.346250	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
62	-0.343750	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
63	-0.341250	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
64	-0.338750	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
65	-0.336250	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
66	-0.333750	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
67	-0.331250	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
