Name, pos1x, pos1y, pos2x, pos2y, pos3x, pos3y, vel1x, vel1y, vel2x, vel2y, vel3x, vel3y, period, energy, L, delta, epsilon, orbits
Figure 8, -1, 0, 1, 0, 0, 0, 0.347111, 0.532728, 0.347111, 0.532728, -0.694222, -1.065456, 6.324449, -1.287146, 0, 0.01, 1e-2, 5
Butterfly 1, -1, 0, 1, 0, 0, 0, 0.306893, 0.125507, 0.306893, 0.125507, -0.613786, -0.251014, 6.235641, -2.170195, 0, 0.00005, 1e-6, 5
Butterfly 2, -1, 0, 1, 0, 0, 0, 0.392955, 0.097579, 0.392955, 0.097579, -0.78591, -0.195158, 7.003907, -2.008193, 0, 0.00001, 1e-6, 5
Butterfly 3, -1, 0, 1, 0, 0, 0, 0.405916, 0.230163, 0.405916, 0.230163, -0.811832, -0.460326, 13.865763, -1.846772, 0, 0.00001, 1e-6, 5
Butterfly 4, -1, 0, 1, 0, 0, 0, 0.350112, 0.079339, 0.350112, 0.079339, -0.700224, -0.158678, 79.475875, -2.113380, 0, 0.00001, 1e-6, 1
Bumblebee, -1, 0, 1, 0, 0, 0, 0.184279, 0.587188, 0.184279, 0.587188, -0.368558, -1.174376, 63.534541, -1.363754, 0, 0.00001, 1e-6, 1
Dragonfly, -1, 0, 1, 0, 0, 0, 0.080584, 0.588836, 0.080584, 0.588836, -0.161168, -1.177672, 21.270975, -1.440335, 0, 0.00005, 1e-6, 5
Goggles, -1, 0, 1, 0, 0, 0, 0.083300, 0.127889, 0.083300, 0.127889, -0.1666, -0.255778, 10.466818, -2.430116, 0, 0.00001, 1e-6, 3
Moth 1, -1, 0, 1, 0, 0, 0, 0.464445, 0.396060, 0.464445, 0.396060, -0.92889, -0.79212, 14.893911, -1.382281, 0, 0.001, 1e-6, 5
Moth 2, -1, 0, 1, 0, 0, 0, 0.439166, 0.452968, 0.439166, 0.452968, -0.878332, -0.905936, 28.670278, -1.305861, 0, 0.0001, 1e-6, 5
Moth 3, -1, 0, 1, 0, 0, 0, 0.383444, 0.377364, 0.383444, 0.377364, -0.766888, -0.754728, 25.840618, -1.631703, 0, 0.00001, 1e-6, 3
Yarn, -1, 0, 1, 0, 0, 0, 0.559064, 0.349192, 0.559064, 0.349192, -1.118128, -0.698384, 55.501762, -1.196537, 0, 0.00001, 1e-6, 1
Yin-Yang 1a, -1, 0, 1, 0, 0, 0, 0.513938, 0.304736, 0.513938, 0.304736, -1.027876, -0.609472, 17.328370, -1.429011, 0, 0.00005, 1e-6, 5
Yin-Yang 1b, -1, 0, 1, 0, 0, 0, 0.282699, 0.327209, 0.282699, 0.327209, -0.565398, -0.654418, 10.962563, -1.939048, 0, 0.00001, 1e-6, 5
Yin-Yang 2a, -1, 0, 1, 0, 0, 0, 0.416822, 0.330333, 0.416822, 0.330333, -0.833644, -0.660666, 55.789829, -1.651418, 0, 0.00001, 1e-6, 1
Yin-Yang 2b, -1, 0, 1, 0, 0, 0, 0.417343, 0.313100, 0.417343, 0.313100, -0.834686, -0.6262, 54.207599, -1.683380, 0, 0.00001, 1e-6, 1
